# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
ID_SITE_TOPO_SOLID_IMPORT_POINTS	Create from CSV	CSV에서 작성
ID_SKETCH_2D_PATH	Sketch Path	경로 스케치
ID_SKETCH_ALIGN_EAVES	Align Eaves	처마 정렬
ID_SKETCH_CEILING	Sketch Ceiling	천장 스케치
ID_SKETCH_DEFINE_ROOF_SLOPE	Slope Arrow	경사 화살표
ID_SKETCH_DEFINE_SLOPE	Slope Arrow	경사 화살표
ID_SKETCH_DPART_EDIT	Edit Sketch	스케치 편집
ID_SKETCH_GRID_VIS	Show Work Plane	작업 기준면 표시
ID_SKETCH_JOIST_SYSTEM_FROM_AUTO	Sketch Beam System	보 시스템 스케치
ID_SKETCH_PICK_WALLS	Line:Pick Existing Wall	선:기존 벽 선택
ID_SKETCH_PLANE_TOOL	Set; Set Work Plane	설정; 작업 기준면 설정
ID_SKETCH_PROFILE_1	Select Profile 1	프로파일 1 선택
ID_SKETCH_PROFILE_2	Select Profile 2	프로파일 2 선택
ID_SKETCH_SHAFTOPENING_SYMBOL	Symbolic Line	기호 선
ID_SLOPE_PIPE_DOWN	Slope: Down	경사: 하향
ID_SLOPE_PIPE_OFF	Slope: Off	경사: 끄기
ID_SLOPE_PIPE_SHOW_TOOLTIP	Show Tooltip; Show Slope Tooltip	툴팁 표시; 경사 툴팁 표시
ID_SLOPE_PIPE_UP	Slope: Up	경사: 상향
ID_SNAP_MIDBETWEEN2POINTS	Mid between 2 points	두 점 사이의 중간
ID_SNAP_OVERRIDE_CENTER	Centers	중심
ID_SNAP_OVERRIDE_CLOSE	Close	닫기
ID_SNAP_OVERRIDE_COORDINATION_MODELS	Snap to Coordination Models	협업 모델로 스냅
ID_SNAP_OVERRIDE_END	Endpoints	끝점
ID_SNAP_OVERRIDE_INTERIOR	Nearest	근사값
ID_SNAP_OVERRIDE_INTERSECT	Intersections	교차로
ID_SNAP_OVERRIDE_MID	Midpoints	중간점
ID_SNAP_OVERRIDE_NO_SNAP	Snap Off; Snaps Off	스냅 끄기; 스냅 끄기
ID_SNAP_OVERRIDE_PERP	Perpendicular	수직
ID_SNAP_OVERRIDE_POINT	Points	점
ID_SNAP_OVERRIDE_POINT_CLOUDS	Snap to Point Clouds	포인트 클라우드에 스냅
ID_SNAP_OVERRIDE_QUADRANT	Quadrants	사분면
ID_SNAP_OVERRIDE_REMOTE	Snap to Remote Objects	원격 객체로 스냅
ID_SNAP_OVERRIDE_SKETCH_GRID	Work Plane Grid	작업 기준면 그리드
ID_SNAP_OVERRIDE_TANGENT	Tangents	접선
ID_SOLAR_STUDY_LIGHTING_TYPE	Lighting Study Type	조명 연구 유형
ID_SOLAR_STUDY_MULTIDAY_TYPE	Multi-day Study Type	수일 기준 연구 유형
ID_SOLAR_STUDY_NEXT_FRAME	Next Frame	다음 프레임
ID_SOLAR_STUDY_NEXT_KEY_FRAME	Next Key Frame	다음 키 프레임
ID_SOLAR_STUDY_PLAY	Play Preview	재생 미리보기
ID_SOLAR_STUDY_PREVIOUS_FRAME	Previous Frame	이전 프레임
ID_SOLAR_STUDY_PREVIOUS_KEY_FRAME	Previous Key Frame	이전 키 프레임
ID_SOLAR_STUDY_SINGLEDAY_TYPE	Single Day Study Type	일일 기준 연구 유형
ID_SOLAR_STUDY_STILL_TYPE	Still Image Study Type	스틸 이미지 연구 유형
ID_SOLAR_STUDY_TOGGLE_SIMULATION	Play in Loop	반복 재생
ID_SPATIAL_GRID	Spatial Grid	공간 그리드
ID_SPECIFY_SHARED_COORDINATES	Coordinates:Specify Coordinates at Point	좌표:점에서 좌표 지정
ID_SPLICE_MODIFY_SPLICE	Modify Splices	이음 수정
ID_SPLICE_REBAR_CANCEL	Cancel	취소
ID_SPLICE_REBAR_FINISH	Finish	마감
ID_SPLIT	Split Element	요소 분할
ID_SPLIT_FACE	Split Face	면 분할
ID_SPLIT_FACE_IN_NEW_FAMILIES	Split Face	면 분할
ID_SPLIT_WITH_GAP	Split with Gap	간격으로 분할
ID_SPOT_COORDINATE	Spot Coordinate; Spot Coordinate	지정점 좌표; 지정점 좌표
ID_SPOT_ELEVATION	Spot Elevation; Spot Elevation	지정점 레벨; 지정점 레벨
ID_SPOT_SLOPE	Spot Slope; Spot Slope	지정점 경사; 지정점 경사
ID_SSE_POINTS_VISIBILITY	Preview Points	점 미리보기
ID_STAIRSEDITMODE_FINISH	Finish Edit Mode	편집 모드 완료
ID_STAIRSEDITMODE_QUIT	Cancel Edit Mode	편집 모드 취소
ID_STAIRS_CONVERT_TO_CUSTOM	Convert to sketch-based	스케치 기반으로 변환
ID_STAIRS_EDIT_STAIRS	Edit Stairs	계단 편집
ID_STAIRS_LANDING	Landing	계단참
ID_STAIRS_RUN	Run	실행
ID_STAIRS_SUPPORT	Support	지원
ID_STAIRS_TRISER_NUMBER	Stair Tread/Riser Number	계단 디딤판/챌판 번호
ID_STARTING_VIEW	Starting View	시작 뷰
ID_STATUSBAR_DESIGNOPTIONS	Status Bar - Design Options	상태 막대 - 설계 옵션
ID_STATUSBAR_WORKSETS	Status Bar - Worksets	상태 막대 - 작업 세트
ID_STEEL_PARAM_CUT_BY	Cut By	절단 방법
ID_STEEL_PARAM_CUT_COPE	Cope	코핑
ID_STEEL_PARAM_CUT_MITER	Miter	마이터
ID_STEEL_PARAM_CUT_SAW_CUT_FLANGE	Miter:Saw cut - Flange	연귀:톱 절단 - 플랜지
ID_STEEL_PARAM_CUT_SAW_CUT_WEB	Miter:Saw cut - Web	연귀:톱 절단 - 웹
ID_STEEL_PARAM_CUT_THROUGH	Cut Through	절단
ID_STEEL_PLAYLIST_DYNAMO	Steel Connection Automation	철골 연결 자동화
ID_STRUCTURAL_CONNECTION_DIRECT_CREATION	Structural Connection	구조 연결
ID_STRUCTURAL_CONNECTION_SETTINGS	Structural Settings:Connection Settings	구조 설정:연결 설정
ID_STRUCTURAL_SETTINGS	Structural Settings:Structural Settings	구조 설정:구조 설정
ID_STRUCTURAL_SETTINGS_BOUND_COND	Boundary Conditions Settings	경계 조건 설정
ID_STRUCTURAL_SETTINGS_LOADS_SCALING_DISPLAY	Loads Scaling Display	하중 축척 화면표시
ID_STRUCTURAL_SETTINGS_LOAD_CASES	Load Cases Display	하중 케이스 표시
ID_STRUCTURAL_SETTINGS_LOAD_COMB	Load Cases and Combinations	하중 케이스 및 조합
ID_STRUCT_CONNECTION_CUSTOMIZE	Customize	사용자화
ID_STRUCT_CONNECTION_CUSTOM_EDIT_MODE_ADD	Add to Connection	연결에 추가
ID_STRUCT_CONNECTION_CUSTOM_EDIT_MODE_CANCEL	Cancel	취소
ID_STRUCT_CONNECTION_CUSTOM_EDIT_MODE_FINISH	Finish	마감
ID_STRUCT_CONNECTION_CUSTOM_EDIT_MODE_REMOVE	Remove from Connection	연결에서 제거
ID_STRUCT_CONNECTION_EDIT_CUSTOM	Edit	편집
ID_STRUCT_CONN_OFFSET_REF_BOTTOM_CENTER	Alignment Bottom Center	정렬 하단 중심
ID_STRUCT_CONN_OFFSET_REF_BOTTOM_LEFT	Alignment Bottom Left	정렬 왼쪽 하단
ID_STRUCT_CONN_OFFSET_REF_BOTTOM_RIGHT	Alignment Bottom Right	정렬 오른쪽 하단
ID_STRUCT_CONN_OFFSET_REF_MIDDLE_CENTER	Alignment Middle Center	정렬 중간 중심
ID_STRUCT_CONN_OFFSET_REF_MIDDLE_LEFT	Alignment Middle Left	정렬 왼쪽 중간
ID_STRUCT_CONN_OFFSET_REF_MIDDLE_RIGHT	Alignment Middle Right	정렬 오른쪽 중간
ID_STRUCT_CONN_OFFSET_REF_TOP_CENTER	Alignment Top Center	정렬 상단 중심
ID_STRUCT_CONN_OFFSET_REF_TOP_LEFT	Alignment Top Left	정렬 왼쪽 상단
ID_STRUCT_CONN_OFFSET_REF_TOP_RIGHT	Alignment Top Right	정렬 오른쪽 상단
ID_STRUCT_JUST_DBAR_CARDINAL	Justification Points	맞춤 점
ID_STRUCT_JUST_DBAR_OFFSET_Y	yOffset	y 간격띄우기
ID_STRUCT_JUST_DBAR_OFFSET_Z	zOffset	z 간격띄우기
ID_SURFACE_EDIT_SKETCH	Edit Boundary	경계 편집
ID_SWEEP_PROFILE	Select Profile	프로파일 선택
ID_SWITCH_ARG_VIEW	Accelerated Graphics - Tech Preview; Accelerated Graphics Mode	가속 그래픽 - 기술 미리보기; 가속화된 그래픽 모드
ID_SWITCH_JOIN_ORDER_EDITOR	Join:Switch Join Order	결합:결합 순서 전환
ID_SYSTEMZONE_CONVERTTO_SKETCH	Convert to Sketch-Based	스케치 기반으로 변환
ID_TAG_MATERIAL	Material Tag	재료 태그
ID_TAG_MULTI	Multi-Category Tag	다중 카테고리 태그
ID_TAG_ON_PLACEMENT	Tag on Placement	태그 삽입
ID_TEMPHIDE_HIDE	Hide Element	요소 숨기기
ID_TEMPHIDE_HIDECAT	Hide Category	범주 숨기기
ID_TEMPHIDE_ISOLATE	Isolate Element	요소 분리
ID_TEMPHIDE_ISOLATECAT	Isolate Category	카테고리 분리
ID_TEMPHIDE_MAKEPERM	Apply Hide/Isolate to View	뷰에 숨기기/분리 적용
ID_TEMPHIDE_RESET	Reset Temporary Hide/Isolate	임시 숨기기/분리 재설정
ID_TEMPORARILY_APPLY_TEMPLATE_PROPERTIES	Temporarily Apply Template Properties	템플릿 특성 임시 적용
ID_TEXTEDITOR_CLOSE	Close Text Editor	문자 편집기 닫기
ID_TEXTEDITOR_SHOWBORDER	Show border when editing	편집 시 경계 표시
ID_TEXTEDITOR_SHOWOPAQUEBK	Show opaque background when editing	편집 시 불투명 배경화면 표시
ID_TEXTNOTE_ADDLEADER	Add Left Side Straight Leader	왼쪽 직선 지시선 추가
ID_TEXTNOTE_ADDLEADER_R	Add Right Side Straight Leader	오른쪽 직선 지시선 추가
ID_TEXTNOTE_ADD_LEADER_ARC	Add Left Side Arc Leader	왼쪽 호 지시선 추가
ID_TEXTNOTE_ADD_LEADER_ARC_R	Add Right Side Arc Leader	오른쪽 호 지시선 추가
ID_TEXTNOTE_BOTTOM_ALIGN	Align Elements Bottom	요소 아래쪽 정렬
ID_TEXTNOTE_CENTER_HOR_ALIGN	Align Elements Center	요소 중심 정렬
ID_TEXTNOTE_CENTER_VERT_ALIGN	Align Elements Middle	요소 가운데 정렬
ID_TEXTNOTE_HOR_DISTRIBUTE	Distribute Horizontally	수평 분산
ID_TEXTNOTE_LEFT_ALIGN	Align Elements Left	요소 왼쪽 정렬
ID_TEXTNOTE_RIGHT_ALIGN	Align Elements Right	요소 오른쪽 정렬
ID_TEXTNOTE_RMVLEADER	Remove Last Leader	마지막 지시선 제거
ID_TEXTNOTE_TOP_ALIGN	Align Elements Top	요소 상단 정렬
ID_TEXTNOTE_VERT_DISTRIBUTE	Distribute Vertically	수직 분산
ID_TEXT_ALL_CAPS	All Caps	모두 대문자로
ID_TEXT_BOLD	Bold	굵게
ID_TEXT_DECREASE_INDENT	Decrease Indent	들여쓰기 감소
ID_TEXT_DECREMENT_LIST_START	Decrement List Value	감소 리스트 값
ID_TEXT_INCREASE_INDENT	Increase Indent	들여쓰기 증가
ID_TEXT_INCREMENT_LIST_START	Increment List Value	증분 리스트 값
ID_TEXT_ITALIC	Italic	기울임꼴
ID_TEXT_LEADER_ARC	Curved	곡선형
ID_TEXT_LEADER_NONE	No Leader	지시선 없음
ID_TEXT_LEADER_ONESEG	One Segment	하나의 세그먼트
ID_TEXT_LEADER_TWOSEG	Two Segments	두 개의 세그먼트
ID_TEXT_PARA_BULLET	List: Bullets	리스트: 글머리 기호
ID_TEXT_PARA_LOWERCASE	List: Lowercase Letters	리스트: 소문자
ID_TEXT_PARA_NONE	List: None	리스트: 없음
ID_TEXT_PARA_NUMBER	List: Numbers	리스트: 숫자
ID_TEXT_PARA_UPPERCASE	List: Uppercase Letters	리스트: 대문자
ID_TEXT_SUBSCRIPT	Subscript	아래 첨자
ID_TEXT_SUPERSCRIPT	Superscript	위 첨자
ID_TEXT_UNDERLINE	Underline	밑줄
ID_THIN_LINES	Thin Lines; Thin Lines	가는 선; 가는 선
ID_TITLEBLOCK_NEW	Title Block	제목 블록
ID_TOGGLE_ACTIVATE_CONTROLS	Activate Controls and Dimensions	컨트롤 및 치수 활성화
ID_TOGGLE_ALLOW_DRAG_ON_SELECTION	Drag elements on selection	선택된 요소 끌기
ID_TOGGLE_ALLOW_FACE_SELECTION	Select elements by face	면별 요소 선택
ID_TOGGLE_ALLOW_LINK_SELECTION	Select links	링크 선택
ID_TOGGLE_ALLOW_PINNED_SELECTION	Select pinned elements	핀 요소 선택
ID_TOGGLE_ALLOW_UNDERLAY_SELECTION	Select underlay elements	언더레이 요소 선택
ID_TOGGLE_FABPART_BROWSER	MEP Fabrication Parts; Fabrication Part	MEP 제작 부품; 제작 부품
ID_TOGGLE_HOST_BY_LINK_BROWSER	Reconcile Hosting	호스트 조정
ID_TOGGLE_PROPERTIES_PALETTE	Properties; Toggle Properties Palette	특성; 특성 전환 팔레트
ID_TOGGLE_REBAR_ALIGNED_SET_ORIENTATION_KEYSHORTCUT	Toggle Bar Alignment	막대 정렬 전환
ID_TOGGLE_REBAR_CONSTRAINT_CLEAR_SPACING_KEYSHORTCUT	Toggle Rebar Clear Distance	보강 철근 간격 전환
ID_TOGGLE_REBAR_CONSTRAINT_CLOSE_LOOP_KEYSHORTCUT	Toggle Free Form Rebar Auto-close	프리폼 보강 철근 자동 닫기 전환
ID_TOGGLE_REBAR_COVER_CHECK_UNCHECK_KEYSHORTCUT	Toggle Rebar Cover Constraint	보강 철근 피복 구속조건 전환
ID_TOGGLE_REBAR_TOGGLE_BI_DIRECTIONAL_KEYSHORTCUT	Toggle Rebar Two-way Constraint	보강 철근 양방향 구속조건 전환
ID_TOGGLE_REBAR_VISIBILITY	Toggle visibility	가시성 토글
ID_TOGGLE_REVEAL_CONSTRAINTS	Toggle Reveal Constraints Mode	모서리 받침 구속조건 모드 전환
ID_TOGGLE_SHOW_MAKE_ELEMENT_EDITABLE_CONTROLS	Show Worksharing Make Editable Controls	작업 공유 편집가능하게 만들기 컨트롤 표시
ID_TOGGLE_SMOOTH_TOPOSOLID	Toposolid Smooth Shading	지형 솔리드 부드러운 음영처리
ID_TOGGLE_SNAP_TO_SSE_POINTS_LINES	Snap to Editor Points and Lines	편집기 점 및 선으로 스냅
ID_TOGGLE_STRUCTCONNECTIONS_SHOW_WARNINGS	Show warnings in views	뷰에 경고 표시
ID_TOOLS_MACROS	Macro Manager	매크로 관리자
ID_TOOLS_MACROSECURITY	Macro Security	매크로 보안
ID_TOPOGRAPHY_LINK	Link Topography	지형 링크
ID_TOPOSOLID_EXCAVATION	Excavate	굴착
ID_TOPOSOLID_PICK_FACES	Toposolid by Face	면별 지형 솔리드
ID_TOPOSOLID_SIMPLIFY	Simplify Toposolid	지형 솔리드 단순화
ID_TOPOSOLID_SUBREGION	Sub-divide	구획화
ID_TOPOSOLID_UNEXCAVATION	Excavate:Remove Excavation	굴착:굴착 제거
ID_TOPOSURFACE_SETTINGS	Toposurface Settings	지형면 설정
ID_TRANSFER_PROJECT_STANDARDS	Transfer Project Standards	프로젝트 표준 전송
ID_TRIM_EXTEND_CORNER	Trim/Extend to Corner	코너로 자르기/연장
ID_TRIM_EXTEND_MULTIPLE	Trim/Extend Multiple Elements	다중 요소 자르기/연장
ID_TRIM_EXTEND_SINGLE	Trim/Extend Single Element	단일 요소 자르기/연장
ID_TRUSS_BOTTOM_CHORD_CURVE	Bottom Chord; Bottom Chord	하현재; 하현재
ID_TRUSS_BOTTOM_CHORD_REFERENCE	Bottom Chord	하현재
ID_TRUSS_LINE	Truss:Line	트러스:선
ID_TRUSS_PICK_LINES	Truss:Pick Lines	트러스:선 선택
ID_TRUSS_TOP_CHORD_CURVE	Top Chord; Top Chord	상현재; 상현재
ID_TRUSS_TOP_CHORD_REFERENCE	Top Chord	상현재
ID_TRUSS_WEB_CURVE	Web	웹
ID_TURN_ON_MULTI_PLANAR_REBAR	Multi-planar	다중 평면
ID_TURN_ON_MULTI_PLANAR_SHAPE	Multi-planar	다중 평면
ID_TWINMOTION_DIRECT_LINK_AUTOSYNC_DISABLE	Twinmotion:Auto Sync	Twinmotion:자동 동기화
ID_TWINMOTION_DIRECT_LINK_CONNECTIONS	Twinmotion:Connections	Twinmotion:연결
ID_TWINMOTION_DIRECT_LINK_SYNCHRONIZE	Twinmotion:Synchronize	Twinmotion:동기화
ID_TWINMOTION_EXPORT_TO_DATASMITH_FILE	Twinmotion:Export to Datasmith file	Twinmotion:Datasmith 파일로 내보내기
ID_TWINMOTION_MESSAGES	Twinmotion:Export Messages	Twinmotion:메시지 내보내기
ID_TWINMOTION_SETTINGS	Twinmotion:Export Settings	Twinmotion:설정 내보내기
ID_TWINMOTION_SUB_SETTINGS	Twinmotion:Substitution Settings	Twinmotion:대체 설정
ID_UNCOPING	Cope:Remove Coping	코핑:코핑 제거
ID_UNCUT_HOST	Cut:Uncut Geometry	절단:형상 비절단
ID_UNEXTEND_WALLS	Detach:Detach Top/Base	분리:상단/베이스 분리
ID_UNHIDE_ALL_COLUMNS	Unhide All Columns	전체 열 숨기기 해제
ID_UNHIDE_ELEMENTS_EDITOR	Remove Hidden Lines by Element	요소별 은선 제거
ID_UNJOIN_ELEMENTS_EDITOR	Join:Unjoin Geometry	결합:형상 결합 해제
ID_UNLOCK_ELEMENTS	Unpin	잠금 해제
ID_UPDATE_PATH_OF_TRAVEL	Update Paths of Travel	이동 경로 업데이트
ID_VIEWCUBE_HELP	Help	도움말
ID_VIEWCUBE_HOME	Go Home	홈으로 이동
ID_VIEWCUBE_LOCK_SELECTION	Lock to Selection	선택으로 고정
ID_VIEWCUBE_OPTIONS	Options	옵션
ID_VIEWCUBE_RESET_FRONT	Reset Front	정면도 재설정
ID_VIEWCUBE_SET_HOME	Set Current View as Home	현재 뷰를 홈으로 설정
ID_VIEWCUBE_TOGGLE_BETWEEN_PERSP_AND_ORTHO	Toggle to Orthographic-3D View / Toggle to Perspective-3D View	직교 3D 뷰로 전환/투시 3D 뷰로 전환
ID_VIEWPORT_ACTIVATE	Viewports:Activate View; Activate View	뷰포트:뷰 활성화; 뷰 활성화
ID_VIEWPORT_ACTIVATE_BASE	Viewports:Deactivate View	뷰포트:뷰 비활성화
ID_VIEWPORT_EDIT_VIEW_POSITION	Edit Position	위치 편집
ID_VIEWPORT_SAVE_VIEW_POSITION	Save Position	위치 저장
ID_VIEWPORT_VIEW	View	뷰
ID_VIEWS_FOR_A360	Publish Settings	게시 설정
ID_VIEWTAGSTYLES_CALLOUTTAGS	Callout Tags	콜아웃 태그
ID_VIEWTAGSTYLES_ELEVATIONTAGS	Elevation Tags	입면 태그
ID_VIEWTAGSTYLES_SECTIONTAGS	Section Tags	단면 태그
ID_VIEW_ANCHOR	View Anchor	뷰 앵커
ID_VIEW_APPLY_SELECTION_BOX	Selection Box	선택 상자
ID_VIEW_CATEGORY_VISIBILITY	Visibility/ Graphics	가시성/그래픽
ID_VIEW_CLOSE_INACTIVE	Close Inactive Views	비활성 뷰 닫기
ID_VIEW_DEFAULT_3DVIEW	3D View; Default 3D View	3D 뷰; 기본 3D 뷰
ID_VIEW_FRAME_REVEALHIDDEN	Toggle Reveal Hidden Elements Mode	숨겨진 요소 표시 모드 전환
ID_VIEW_FRAME_TOGGLE_ANALYTICAL_MODEL_VISIBILITY	Show/Hide Analytical Model	해석 모델 표시/숨기기
ID_VIEW_GO_FILTER	Hide in View:Hide by Filter; Override Graphics in View:Override by Filter	뷰에서 숨기기:필터별 숨기기; 뷰에서 그래픽 재지정:필터별 재지정
ID_VIEW_HIDE_CATEGORY	Hide in View:Hide Category	뷰에서 숨기기:카테고리 숨기기
ID_VIEW_HIDE_ELEMENTS	Hide in View:Hide Elements	뷰에서 숨기기:요소 숨기기
ID_VIEW_NEW_3DVIEW	3D View:Camera; Default 3D View:Camera	3D 뷰:카메라; 기본 3D 뷰:카메라
ID_VIEW_NEW_AREASCHEME	Plan Views:Area Plan; Area:Area Plan	평면도:영역 평면도; 영역:영역 평면도
ID_VIEW_NEW_CALLOUT	Callout	콜아웃
ID_VIEW_NEW_CALLOUT_SKETCH	Callout:Sketch	콜아웃:스케치
ID_VIEW_NEW_DRAFTING	Drafting View	드래프팅 뷰
ID_VIEW_NEW_DRAWING_LIST	Schedules:Sheet List	일람표:시트 리스트
ID_VIEW_NEW_GRAPH_SCHED_COLUMN	Schedules:Graphical Column Schedule	일람표:그래픽 기둥 일람표
ID_VIEW_NEW_KEYNOTE_LEGEND	Legends:Keynote Legend	범례:키노트 범례
ID_VIEW_NEW_LEGEND	Legends:Legend	범례:범례
ID_VIEW_NEW_MATERIAL_TAKEOFF	Schedules:Material Takeoff	일람표:재료 견적
ID_VIEW_NEW_NOTE_BLOCK	Schedules:Note Block	일람표:참고 블록
ID_VIEW_NEW_PLAN	Plan Views:Floor Plan; Floor Plan	평면뷰:평면; 평면
ID_VIEW_NEW_RCP	Plan Views:Reflected Ceiling Plan	평면뷰:반사된 천장 평면도
ID_VIEW_NEW_REVISION_SCHEDULE	Revision Schedule	수정기호 일람표
ID_VIEW_NEW_SCHEDULE	Schedules:Schedule/Quantities; Schedule/ Quantities	일람표:일람표/수량; 일람표/ 수량
ID_VIEW_NEW_SECTION	Section	횡단
ID_VIEW_NEW_SHEET	Sheet; New Sheet	시트; 새 시트
ID_VIEW_NEW_STRUCTURAL_PLAN	Plan Views:Structural Plan; Structural Plan	평면뷰:구조 평면; 구조 평면
ID_VIEW_NEW_WALKTHROUGH	3D View:Walkthrough; Default 3D View:Walkthrough	3D 뷰:보행시선; 기본 3D 뷰:보행시선
ID_VIEW_OVERRIDE_CATEGORY	Override Graphics in View:Override by Category	뷰에서 그래픽 재지정:카테고리별 재지정
ID_VIEW_OVERRIDE_CATEGORY_HALFTONE	Graphic Override by Category in View: toggle halftone	뷰에서 카테고리별 그래픽 재지정: 중간색 전환
ID_VIEW_OVERRIDE_ELEMENTS	Override Graphics in View:Override by Element	뷰에서 그래픽 재지정:요소별 재지정
ID_VIEW_OVERRIDE_ELEMENTS_HALFTONE	Graphic Override by Element in View: toggle halftone	뷰에서 요소별 그래픽 재지정: 중간색 전환
ID_VIEW_PLACE_VIEW	Place View	뷰 배치
ID_VIEW_PROJECTEXPLORER	Project Browser	프로젝트 탐색기
ID_VIEW_STATUS_BAR	Status Bar	상태 막대
ID_VIEW_TAB	Tab Views	탭 뷰
ID_VIEW_UNHIDE_BY_CATEGORY	Unhide Category	카테고리 숨김 해제
ID_VIEW_UNHIDE_ELEMENTS	Unhide Element	요소 숨김 해제
ID_VIEW_ZOOMANDPAN_NEXTVIEW	Next Pan/Zoom	다음 초점이동/줌
ID_VIEW_ZOOMANDPAN_PREVIOUSVIEW	Previous Pan/Zoom	이전 초점이동/줌
ID_VISUAL_PROGRAMMING_DYNAMO	Dynamo	Dynamo
ID_VOLUME_OF_INTEREST	Scope Box	스코프 박스
ID_WALKTHROUGH_EDIT	Edit Walkthrough	보행시선 편집
ID_WALL_ARC_CENTER_ENDS	Architectural Wall: Center-Ends Arc	건축 벽: 중간-끝 호
ID_WALL_ARC_FILLET	Architectural Wall:Fillet Arc	건축 벽:모깎기 호
ID_WALL_ARC_TAN	Architectural Wall:Tangent End Arc	건축 벽:접선 끝 호
ID_WALL_ARC_THREE_PNT	Architectural Wall:Start-End-Radius Arc	건축 벽:시작-끝-반지름 호
ID_WALL_CIRCLE	Architectural Wall:Circle	건축 벽:원
ID_WALL_FULL_ELLIPSE	Architectural Wall:Ellipse	건축 벽:타원
ID_WALL_LINE	Architectural Wall:Line	건축 벽:선
ID_WALL_PARTIAL_ELLIPSE	Architectural Wall:Partial Ellipse	건축 벽:부분 타원
ID_WALL_PICK_FACES	Wall:Wall by Face	벽:면으로 벽 만들기
ID_WALL_PICK_LINES	ArchWal:Pick Lines	건축 벽:선 선택
ID_WALL_PLACE_BY_ROOM	Place By Room	룸별로 배치
ID_WALL_PLACE_BY_SEGMENT	Place By Segment	세그먼트별로 배치
ID_WALL_POLY_CIRCUMSCRIBED	Architectural Wall:Circumscribed Polygon	건축 벽:외접 다각형
ID_WALL_POLY_INSCRIBED	Architectural Wall:Inscribed Polygon	건축 벽:내접 다각형
ID_WALL_RECT	Architectural Wall:Rectangle	건축 벽:직사각형
ID_WALL_SPLINE	Architectural Wall:Spline	건축 벽:스플라인
ID_WALL_STRUCT_ARC_CENTER_ENDS	Structural Wall:Center-Ends Arc	구조 벽:중간-끝 호
ID_WALL_STRUCT_ARC_FILLET	Structural Wall:Fillet Arc	구조 벽:모깎기 호
ID_WALL_STRUCT_ARC_TAN	Structural Wall:Tangent End Arc	구조 벽:접선 끝 호
ID_WALL_STRUCT_ARC_THREE_PNT	Structural Wall:Start-End-Radius Arc	구조 벽:시작-끝-반지름 호
ID_WALL_STRUCT_CIRCLE	Structural Wall:Circle	구조 벽:원
ID_WALL_STRUCT_FULL_ELLIPSE	Structural Wall:Ellipse	구조 벽:타원
ID_WALL_STRUCT_LINE	Structural Wall:Line	구조 벽:선
ID_WALL_STRUCT_PARTIAL_ELLIPSE	Structural Wall:Partial Ellipse	구조 벽:부분 타원
ID_WALL_STRUCT_PICK_FACES	Structural Wall:Pick Faces	구조 벽:면 선택
ID_WALL_STRUCT_PICK_LINES	Structural Wall:Pick Lines	구조 벽:선 선택
ID_WALL_STRUCT_POLY_CIRCUMSCRIBED	Structural Wall:Circumscribed Polygon	구조 벽:외접 다각형
ID_WALL_STRUCT_POLY_INSCRIBED	Structural Wall:Inscribed Polygon	구조 벽:내접 다각형
ID_WALL_STRUCT_RECT	Structural Wall:Rectangle	구조 벽:직사각형
ID_WALL_STRUCT_SPLINE	Structural Wall:Spline	구조 벽:스플라인
ID_WINDOW_TILE_VERT	Tile Views	타일 뷰
ID_WORKPLANE_VIEW	Workplane Viewer; Form Work Plane View	작업 기준면 뷰어; 작업 기준면 뷰 양식
ID_WORKSETS_RELOAD_LATEST	Reload Latest	최근 작업 세트 다시 로드
ID_WORKSET_EDITING_REQUESTS	Editing Requests	편집 요청 중
ID_WORKSHARING_MONITOR	Worksharing Monitor	Worksharing Monitor
ID_ZOOM_ALL_ALL	Zoom All to Fit	윈도우 줌
ID_ZOOM_FIT	Zoom to Fit	윈도우 줌
ID_ZOOM_IN	Zoom in Region	영역 확대 보기
ID_ZOOM_OUT_X2	Zoom Out(2x)	축소 보기(1/2배)
ID_ZOOM_SHEET	Zoom Sheet Size	시트 크기 줌
